Name,Year,Certificate,Duration (min),Genre,Rating,Metascore,Vote,Boxoffice (Million $)
Avengers: Infinity War,(2018),PG-13,149.0,"Action, Adventure, Fantasy",8.5,68.0,590606.0,67882.0
Black Panther,(2018),PG-13,134.0,"Action, Adventure, Sci-Fi",7.3,88.0,466942.0,70006.0
Deadpool 2,(2018),R,119.0,"Action, Adventure, Comedy",7.8,66.0,352118.0,32459.0
Ready Player One,(2018),PG-13,140.0,"Action, Adventure, Sci-Fi",7.5,64.0,281326.0,13769.0
A Quiet Place,(2018),PG-13,90.0,"Drama, Horror, Mystery",7.6,82.0,278053.0,18802.0
Bohemian Rhapsody,(2018),PG-13,134.0,"Biography, Drama, Music",8.1,49.0,270587.0,21312.0
Venom,(2018),PG-13,112.0,"Action, Sci-Fi",6.8,35.0,238115.0,21352.0
Mission: Impossible - Fallout,(2018),PG-13,147.0,"Action, Adventure, Thriller",7.8,86.0,216569.0,22016.0
Annihilation,(2018),R,115.0,"Adventure, Drama, Horror",6.9,79.0,213405.0,3273.0
Solo: A Star Wars Story,(2018),PG-13,135.0,"Action, Adventure, Fantasy",7.0,62.0,206808.0,21377.0
Jurassic World: Fallen Kingdom,(2018),PG-13,128.0,"Action, Adventure, Sci-Fi",6.2,51.0,199480.0,41772.0
Ant-Man and the Wasp,(2018),PG-13,118.0,"Action, Adventure, Comedy",7.1,70.0,199017.0,21665.0
A Star Is Born,(2018),R,136.0,"Drama, Music, Romance",7.9,88.0,194686.0,21084.0
Bird Box,(2018),R,124.0,"Drama, Horror, Sci-Fi",6.7,51.0,188916.0,180878.0
Incredibles 2,(2018),PG,118.0,"Animation, Action, Adventure",7.8,80.0,180878.0,60858.0
Aquaman,(2018),PG-13,143.0,"Action, Adventure, Fantasy",7.3,55.0,172189.0,33294.0
Tomb Raider,(2018),PG-13,119.0,"Action, Adventure, Fantasy",6.3,48.0,154475.0,5742.0
Game Night,(I) (2018),R,100.0,"Action, Comedy, Crime",7.0,66.0,151040.0,6900.0
Hereditary,(2018),R,127.0,"Drama, Horror, Mystery",7.3,87.0,133058.0,4407.0
Ocean's 8,(2018),PG-13,110.0,"Action, Comedy, Crime",6.2,61.0,129070.0,13938.0
Red Sparrow,(2018),R,140.0,"Action, Drama, Thriller",6.6,53.0,128911.0,4687.0
Fantastic Beasts: The Crimes of Grindelwald,(2018),PG-13,134.0,"Adventure, Family, Fantasy",6.8,52.0,126141.0,15956.0
BlacKkKlansman,(2018),R,135.0,"Biography, Crime, Drama",7.5,83.0,114805.0,4869.0
Spider-Man: Into the Spider-Verse,(2018),PG,117.0,"Animation, Action, Adventure",8.6,87.0,113739.0,18492.0
Rampage,(2018),PG-13,107.0,"Action, Adventure, Sci-Fi",6.1,45.0,107451.0,9935.0
First Man,(2018),PG-13,141.0,"Biography, Drama, History",7.4,84.0,99341.0,4494.0
The Meg,(2018),PG-13,113.0,"Action, Horror, Sci-Fi",5.7,46.0,98675.0,14544.0
Isle of Dogs,(2018),PG-13,101.0,"Animation, Adventure, Comedy",7.9,82.0,98465.0,3202.0
Upgrade,(2018),R,100.0,"Action, Sci-Fi, Thriller",7.6,67.0,92215.0,1187.0
Green Book,(2018),PG-13,130.0,"Biography, Comedy, Drama",8.3,69.0,90884.0,6965.0
Maze Runner: The Death Cure,(2018),PG-13,143.0,"Action, Sci-Fi, Thriller",6.2,50.0,85875.0,5803.0
Roma,(2018),R,135.0,Drama,7.9,96.0,85476.0,84749.0
The Equalizer 2,(2018),R,121.0,"Action, Crime, Thriller",6.8,50.0,84749.0,10208.0
Sicario: Day of the Soldado,(2018),R,122.0,"Action, Crime, Drama",7.1,61.0,84575.0,5007.0
The Predator,(2018),R,107.0,"Action, Adventure, Sci-Fi",5.4,48.0,84504.0,5102.0
Pacific Rim: Uprising,(2018),PG-13,111.0,"Action, Adventure, Sci-Fi",5.6,44.0,84185.0,5919.0
Searching,(III) (2018),PG-13,102.0,"Drama, Mystery, Thriller",7.7,71.0,81778.0,2602.0
Crazy Rich Asians,(2018),PG-13,120.0,"Comedy, Romance",7.0,74.0,80370.0,17453.0
The Cloverfield Paradox,(2018),PG-13,102.0,"Drama, Horror, Mystery",5.6,37.0,79660.0,79443.0
The Nun,(2018),R,96.0,"Horror, Mystery, Thriller",5.4,46.0,79443.0,11744.0
The Commuter,(I) (2018),PG-13,105.0,"Action, Mystery, Thriller",6.3,56.0,77757.0,3634.0
Halloween,(I) (2018),R,106.0,"Horror, Thriller",6.7,67.0,77324.0,15934.0
"Love, Simon",(2018),PG-13,110.0,"Comedy, Drama, Romance",7.7,72.0,75895.0,4083.0
The Ballad of Buster Scruggs,(2018),R,133.0,"Comedy, Drama, Musical",7.3,79.0,73911.0,73660.0
The Favourite,(2018),R,119.0,"Biography, Comedy, Drama",7.8,90.0,73660.0,3212.0
Tag,(I) (2018),R,100.0,Comedy,6.6,56.0,72871.0,5455.0
Skyscraper,(2018),PG-13,102.0,"Action, Adventure, Thriller",5.9,51.0,70903.0,6780.0
A Simple Favor,(2018),R,117.0,"Comedy, Crime, Drama",6.9,67.0,70468.0,5354.0
Bad Times at the El Royale,(2018),R,141.0,"Crime, Drama, Mystery",7.1,60.0,68889.0,1784.0
Den of Thieves,(2018),R,140.0,"Action, Crime, Drama",7.0,49.0,64767.0,4495.0
Ralph Breaks the Internet,(2018),PG,111.0,"Animation, Adventure, Comedy",7.2,71.0,57141.0,19987.0
To All the Boys I've Loved Before,(2018),TV-14,99.0,"Drama, Romance",7.3,64.0,55011.0,53355.0
Mamma Mia! Here We Go Again,(2018),PG-13,114.0,"Comedy, Musical, Romance",6.8,60.0,53355.0,12063.0
Bumblebee,(2018),PG-13,114.0,"Action, Adventure, Sci-Fi",7.1,66.0,52867.0,12693.0
Blockers,(2018),R,102.0,Comedy,6.2,69.0,52485.0,5984.0
Creed II,(2018),PG-13,130.0,"Drama, Sport",7.4,66.0,47239.0,11569.0
Widows,(2018),R,129.0,"Crime, Drama, Thriller",7.1,84.0,46627.0,4240.0
12 Strong,(2018),R,130.0,"Action, Drama, History",6.6,54.0,46601.0,4550.0
Death Wish,(2018),R,107.0,"Action, Crime, Drama",6.4,31.0,45469.0,3402.0
Mortal Engines,(2018),PG-13,128.0,"Action, Adventure, Fantasy",6.2,44.0,43416.0,1595.0
Christopher Robin,(2018),PG,104.0,"Animation, Adventure, Comedy",7.4,60.0,42814.0,9922.0
Mile 22,(2018),R,94.0,"Action, Adventure, Thriller",6.1,38.0,41994.0,3611.0
The Spy Who Dumped Me,(2018),R,117.0,"Action, Adventure, Comedy",6.0,52.0,41614.0,3356.0
Fifty Shades Freed,(2018),R,105.0,"Drama, Romance, Thriller",4.5,31.0,41140.0,10041.0
Outlaw King,(2018),R,121.0,"Action, Biography, Drama",7.0,59.0,40564.0,40396.0
Johnny English Strikes Again,(2018),PG,89.0,"Action, Adventure, Comedy",6.2,39.0,40396.0,428.0
Mowgli: Legend of the Jungle,(2018),PG-13,104.0,"Adventure, Drama, Fantasy",6.5,51.0,40331.0,39546.0
Insidious: The Last Key,(2018),PG-13,103.0,"Horror, Mystery, Thriller",5.7,49.0,39546.0,6735.0
Vice,(I) (2018),R,132.0,"Biography, Comedy, Drama",7.2,61.0,38982.0,4712.0
Overlord,(2018),R,110.0,"Action, Adventure, Horror",6.8,60.0,38265.0,2170.0
Mandy,(I) (2018),Not Rated,121.0,"Action, Fantasy, Horror",6.6,81.0,38096.0,121.0
Hotel Transylvania 3: Summer Vacation,(2018),PG,97.0,"Animation, Adventure, Comedy",6.3,54.0,37270.0,16751.0
Tully,(2018),R,95.0,"Comedy, Drama, Mystery",7.0,75.0,36942.0,923.0
The First Purge,(2018),R,98.0,"Action, Horror, Sci-Fi",5.1,54.0,36305.0,6909.0
Alpha,(2018),PG-13,96.0,"Adventure, Drama, Family",6.7,63.0,36242.0,3585.0
Extinction,(2018),TV-MA,95.0,"Action, Drama, Sci-Fi",5.8,40.0,35039.0,35035.0
I Feel Pretty,(2018),PG-13,110.0,Comedy,5.4,48.0,35035.0,4880.0
Eighth Grade,(2018),R,93.0,"Comedy, Drama",7.5,90.0,34981.0,1354.0
Sorry to Bother You,(2018),R,111.0,"Comedy, Fantasy, Sci-Fi",7.0,80.0,34481.0,1749.0
The Christmas Chronicles,(2018),TV-PG,104.0,"Adventure, Comedy, Family",7.1,52.0,34243.0,34192.0
How It Ends,(2018),TV-MA,113.0,"Action, Adventure, Drama",5.0,36.0,34192.0,33828.0
Mary Poppins Returns,(2018),PG,130.0,"Comedy, Family, Fantasy",7.2,66.0,33828.0,17093.0
A Wrinkle in Time,(2018),PG,109.0,"Adventure, Family, Fantasy",4.2,53.0,32886.0,10048.0
Adrift,(I) (2018),PG-13,96.0,"Action, Adventure, Biography",6.6,56.0,30521.0,3145.0
Truth or Dare,(I) (2018),PG-13,100.0,"Horror, Thriller",5.1,35.0,30456.0,4072.0
